epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,87.4977,0.55811,0.42363,1.01351,0.99901,1,0.995,0.90778,0.40368,0.35487,0.94114,0.0014456,0.0014456,0.0014456
44,92.8252,0.5433,0.39743,1.0079,0.99786,1,0.995,0.87838,0.55241,0.39414,1.04967,0.0014324,0.0014324,0.0014324
45,98.7624,0.5618,0.41058,1.02248,0.99845,1,0.995,0.9094,0.42728,0.31294,0.96279,0.0014192,0.0014192,0.0014192
46,104.568,0.52025,0.38197,0.98238,0.99841,1,0.995,0.91653,0.41964,0.3138,0.95963,0.001406,0.001406,0.001406
47,110.157,0.51389,0.37946,0.97302,0.99828,1,0.995,0.89767,0.47808,0.29974,0.99294,0.0013928,0.0013928,0.0013928
48,115.534,0.52581,0.40746,1.00724,0.98825,1,0.995,0.84394,0.56816,0.38073,1.03408,0.0013796,0.0013796,0.0013796
49,121.209,0.5555,0.40479,0.99505,0.92083,0.89477,0.96263,0.77925,0.58533,0.60136,1.05398,0.0013664,0.0013664,0.0013664
50,126.936,0.52386,0.38837,0.98703,0.90187,0.94273,0.97117,0.73808,0.64594,0.62315,1.0863,0.0013532,0.0013532,0.0013532
51,132.225,0.52395,0.39205,0.99387,0.99296,1,0.995,0.89183,0.43094,0.32109,0.95649,0.00134,0.00134,0.00134
52,137.978,0.54676,0.38856,1.00209,0.99793,1,0.995,0.89928,0.46957,0.39496,0.96032,0.0013268,0.0013268,0.0013268
53,141.82,0.51293,0.36857,0.98309,0.99819,1,0.995,0.896,0.4516,0.37209,0.95754,0.0013136,0.0013136,0.0013136
54,143.03,0.51337,0.35868,0.97927,0.99809,1,0.995,0.90282,0.40651,0.31585,0.9355,0.0013004,0.0013004,0.0013004
55,144.214,0.52667,0.38295,1.0045,0.99813,1,0.995,0.91558,0.39946,0.29365,0.93448,0.0012872,0.0012872,0.0012872
56,145.42,0.49188,0.36603,1.00554,0.99816,1,0.995,0.90825,0.39868,0.30109,0.93972,0.001274,0.001274,0.001274
57,149.584,0.51363,0.38066,0.99912,0.99685,1,0.995,0.89314,0.41681,0.31875,0.95327,0.0012608,0.0012608,0.0012608
58,155.012,0.53911,0.38439,1.01921,0.99603,1,0.995,0.90884,0.41012,0.33343,0.9507,0.0012476,0.0012476,0.0012476
59,161.206,0.48777,0.35326,0.98409,0.99808,1,0.995,0.91244,0.36943,0.25953,0.93515,0.0012344,0.0012344,0.0012344
60,166.734,0.50608,0.33699,0.97563,0.99843,1,0.995,0.92496,0.38469,0.23716,0.94513,0.0012212,0.0012212,0.0012212
61,168.37,0.43956,0.31772,0.96411,0.99787,1,0.995,0.90719,0.42305,0.27508,0.95365,0.001208,0.001208,0.001208
62,169.592,0.50054,0.34105,0.96866,0.99819,1,0.995,0.92349,0.41097,0.31007,0.94847,0.0011948,0.0011948,0.0011948
63,170.78,0.48994,0.34864,0.9887,0.99853,1,0.995,0.91649,0.3966,0.29299,0.93257,0.0011816,0.0011816,0.0011816
64,171.975,0.49105,0.33714,0.98624,0.99823,1,0.995,0.89866,0.45242,0.29013,0.9723,0.0011684,0.0011684,0.0011684
65,175.089,0.50658,0.34934,0.9817,0.99672,1,0.995,0.90644,0.43167,0.28565,0.96255,0.0011552,0.0011552,0.0011552
66,180.71,0.49789,0.34374,0.98046,0.99845,1,0.995,0.87242,0.55786,0.29875,1.04066,0.001142,0.001142,0.001142
67,186.33,0.52495,0.34567,0.98912,0.99854,1,0.995,0.87025,0.51613,0.30527,1.02499,0.0011288,0.0011288,0.0011288
68,192.273,0.47094,0.33693,0.95846,0.99847,1,0.995,0.8925,0.44846,0.30277,0.9655,0.0011156,0.0011156,0.0011156
69,198.293,0.51223,0.32519,0.9833,0.99962,1,0.995,0.89236,0.49314,0.30536,0.98255,0.0011024,0.0011024,0.0011024
